Year,Custom,Port,Country,Number Of Vessels -Year,Number Of Vessel (Direct Entrance) -Year,Cargo Loaded -Year,Cargo Unloaded -Year,Number Of Vessels -Jan,Number Of Vessel (Direct Entrance) -Jan,Cargo Loaded -Jan,Cargo Unloaded -Jan,Number Of Vessels -Feb,Number Of Vessel (Direct Entrance) -Feb,Cargo Loaded -Feb,Cargo Unloaded -Feb,Number Of Vessels -Mar,Number Of Vessel (Direct Entrance) -Mar,Cargo Loaded -Mar,Cargo Unloaded -Mar,Number Of Vessels -Apl,Number Of Vessel (Direct Entrance) -Apl,Cargo Loaded -Apl,Cargo Unloaded -Apl,Number Of Vessels -May,Number Of Vessel (Direct Entrance) -May,Cargo Loaded -May,Cargo Unloaded -May,Number Of Vessels -Jun,Number Of Vessel (Direct Entrance) -Jun,Cargo Loaded -Jun,Cargo Unloaded -Jun,Number Of Vessels -Jul,Number Of Vessel (Direct Entrance) -Jul,Cargo Loaded -Jul,Cargo Unloaded -Jul,Number Of Vessels -Aug,Number Of Vessel (Direct Entrance) -Aug,Cargo Loaded -Aug,Cargo Unloaded -Aug,Number Of Vessels -Sep,Number Of Vessel (Direct Entrance) -Sep,Cargo Loaded -Sep,Cargo Unloaded -Sep,Number Of Vessels -Oct,Number Of Vessel (Direct Entrance) -Oct,Cargo Loaded -Oct,Cargo Unloaded -Oct,Number Of Vessels -Nov,Number Of Vessel (Direct Entrance) -Nov,Cargo Loaded -Nov,Cargo Unloaded -Nov,Number Of Vessels -Dec,Number Of Vessel (Direct Entrance) -Dec,Cargo Loaded -Dec,Cargo Unloaded -Dec
2016,1,103,100,19102,18628,133022,174832,1544,1503,9507,11699,1487,1457,8859,10287,1605,1562,10403,12903,1558,1524,10244,13272,1602,1556,10057,13535,1547,1508,10965,14197,1604,1562,11243,15044,1608,1565,10817,14679,1550,1510,11087,15484,1616,1572,12075,17456,1657,1622,13850,17879,1724,1687,13915,18397
2016,1,103,103,2781,2780,1316,2191,220,220,51,191,203,203,51,163,244,244,56,246,220,220,104,152,226,226,138,154,210,209,148,113,235,235,62,107,247,247,79,101,240,240,125,122,248,248,111,191,241,241,152,405,247,247,239,246
2016,1,103,105,4646,4643,4439,8421,383,383,243,716,370,370,339,391,390,389,313,627,373,373,348,791,391,389,442,559,367,367,404,540,387,387,385,568,399,399,322,702,390,390,340,833,408,408,448,1030,382,382,314,834,406,406,541,830
2016,1,103,106,1742,1742,1348,5009,142,142,144,354,133,133,110,369,150,150,151,467,151,151,107,572,154,154,119,398,145,145,42,339,153,153,87,395,156,156,126,325,139,139,110,246,142,142,128,401,136,136,111,448,141,141,113,695
2016,1,103,108,1776,1774,1496,7389,146,146,69,591,146,146,78,369,155,155,87,588,152,152,87,514,145,144,105,403,144,144,114,526,155,155,162,512,153,153,178,637,144,144,195,719,150,150,136,764,133,133,126,893,153,152,159,873
2016,1,103,110,365,365,63,48,31,31,2,1,29,29,0,2,31,31,3,2,30,30,27,23,31,31,5,2,30,30,3,2,31,31,1,3,30,30,2,6,30,30,3,2,31,31,4,2,30,30,5,1,31,31,8,2
2016,1,103,111,731,731,1635,4302,62,62,42,187,58,58,115,225,62,62,204,393,60,60,170,553,62,62,113,569,60,60,115,389,61,61,99,238,62,62,53,278,60,60,82,371,62,62,146,452,60,60,246,327,62,62,250,320
2016,1,103,112,1098,1098,11986,5271,93,93,612,227,87,87,587,299,93,93,713,342,90,90,992,325,93,93,1171,276,90,90,1193,337,93,93,1062,334,93,93,1150,367,90,90,1115,722,93,93,1220,895,90,90,991,679,93,93,1180,468
2016,1,103,113,365,365,100,664,31,31,7,39,29,29,9,39,31,31,10,59,30,30,3,49,31,31,3,47,30,30,5,43,31,31,6,40,31,31,9,43,30,30,17,47,31,31,5,138,29,29,13,78,31,31,13,42
2016,1,103,117,697,696,905,170,62,62,42,3,58,58,23,3,62,62,41,4,61,61,61,1,61,60,25,5,61,61,37,10,60,60,85,9,61,61,74,16,55,55,56,11,50,50,101,17,49,49,176,21,57,57,184,70
2016,1,103,118,366,366,2734,1254,30,30,163,45,29,29,237,31,31,31,269,87,30,30,255,55,31,31,192,64,30,30,273,99,31,31,221,89,31,31,143,53,30,30,219,165,31,31,254,301,31,31,249,169,31,31,259,96
2016,1,103,140,365,365,2732,2128,31,31,139,68,29,29,181,232,31,31,202,205,30,30,214,180,31,31,232,97,29,29,236,115,31,31,242,140,31,31,244,173,30,30,240,135,31,31,272,280,30,30,270,278,31,31,260,225
2016,1,103,147,364,364,4022,3136,31,31,336,157,29,29,352,274,31,31,372,343,31,31,366,190,31,31,313,135,30,30,313,150,31,31,240,208,30,30,284,229,30,30,385,232,31,31,371,359,30,30,348,479,29,29,342,380
2016,1,103,205,361,361,4595,4279,29,29,233,286,29,29,298,329,31,31,443,381,30,30,430,348,31,31,415,325,30,30,431,310,31,31,407,369,31,31,367,361,30,30,384,373,31,31,466,471,30,30,387,389,28,28,334,337
2016,1,103,210,487,487,5823,5716,35,35,323,334,27,27,299,259,37,37,325,288,43,43,538,346,44,44,424,355,41,41,495,414,44,44,427,472,44,44,436,519,41,41,592,578,46,46,643,652,41,41,629,800,44,44,692,699
2016,1,103,213,665,664,7998,7703,42,42,497,435,44,44,506,577,59,58,625,644,60,60,637,571,62,62,715,606,60,60,724,594,62,62,713,647,61,61,639,655,60,60,811,714,62,62,834,876,48,48,648,711,45,45,649,673
2016,1,103,224,1,1,0,7,0,0,0,0,1,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,1,103,302,369,367,3691,2243,31,31,240,183,30,30,273,167,31,31,283,206,30,30,267,204,31,30,204,77,30,30,333,131,31,31,270,214,31,31,226,112,30,30,351,125,31,30,407,207,30,30,463,250,33,33,374,367
2016,1,103,304,1501,1496,9128,2833,91,91,357,85,106,106,360,227,124,124,525,232,122,122,715,228,125,125,732,291,122,122,798,169,125,123,682,180,124,124,694,171,121,121,661,141,127,126,951,423,149,147,1307,398,165,165,1346,288
2016,1,103,601,366,365,1926,999,31,31,148,26,29,29,147,37,31,31,151,35,30,30,143,95,31,31,166,118,30,30,181,89,31,31,158,110,31,30,166,95,30,30,151,94,31,31,175,126,30,30,180,115,31,31,160,59
2016,1,104,100,38678,38035,507328,562290,3141,3088,35462,40832,2943,2911,31749,36784,3253,3203,41104,47282,3155,3074,40670,45973,3276,3223,40844,45307,3185,3141,43522,46915,3319,3263,44032,49136,3313,3246,43727,48264,3272,3223,45770,49338,3334,3279,47389,51835,3199,3151,45722,49533,3288,3233,47337,51091
2016,1,104,103,7697,7695,45372,41792,520,520,2976,3062,494,494,3317,3261,561,561,4017,3939,569,567,4090,3288,636,636,3481,3093,579,579,3975,3293,691,691,3848,3294,753,753,3595,3184,718,718,3751,3497,734,734,4110,4174,708,708,3825,3969,734,734,4387,3738
2016,1,104,105,5446,5441,13809,19996,458,458,1155,1439,439,439,1013,1204,469,469,1180,1746,448,446,1034,1667,469,469,1058,1345,439,439,1125,1581,459,458,1125,1767,456,455,1000,1574,445,444,1162,2094,457,457,1248,1955,446,446,1315,1868,461,461,1394,1756
2016,1,104,106,4871,4871,27731,32067,409,409,2095,2604,415,415,1836,2124,428,428,2243,3132,428,428,2720,2664,443,443,2654,2595,423,423,2346,2681,410,410,2334,2800,411,411,2127,2315,390,390,2397,2657,386,386,2498,2978,377,377,2110,2705,351,351,2371,2812
2016,1,104,107,193,193,187,80,13,13,15,6,13,13,11,3,0,0,0,0,13,13,9,8,13,13,12,4,17,17,16,4,32,32,18,2,31,31,21,17,21,21,13,9,14,14,18,8,13,13,34,13,13,13,20,6
2016,1,104,108,3613,3607,45283,60522,270,270,3252,4821,252,252,3061,3603,281,281,3861,5090,261,258,3512,4878,256,255,3124,4313,257,257,3470,4531,332,332,3997,5346,319,317,3607,5167,311,311,3970,5441,329,329,4113,5563,350,350,4431,5835,395,395,4885,5934
2016,1,104,110,1367,1366,6324,6503,124,124,408,372,116,116,330,354,125,125,461,552,108,107,457,541,106,106,471,511,104,104,595,542,124,124,594,632,124,124,502,578,120,120,619,582,106,106,667,656,104,104,567,556,106,106,653,627
2016,1,104,111,1730,1728,8924,15059,158,158,605,1003,145,145,611,1186,155,155,765,1482,150,149,731,1183,151,151,592,1187,101,101,679,1135,134,134,881,1184,141,140,690,1295,135,135,763,1261,155,155,844,1481,150,150,866,1387,155,155,897,1275
2016,1,104,112,1634,1634,9270,12798,124,124,647,767,116,116,732,802,124,124,818,1042,120,120,666,918,124,124,684,882,120,120,818,1017,135,135,742,992,155,155,703,1037,150,150,746,1247,155,155,887,1549,150,150,882,1399,161,161,945,1146
2016,1,104,113,655,655,3374,5584,58,58,336,567,55,55,289,487,60,60,422,683,60,60,386,684,53,53,194,517,51,51,247,476,53,53,261,368,53,53,200,349,52,52,259,326,54,54,261,390,50,50,247,375,56,56,272,362
2016,1,104,117,2023,2021,4118,4186,174,174,315,263,161,161,312,275,173,173,347,329,169,168,350,388,174,174,281,373,167,167,336,357,173,173,380,319,172,171,359,344,164,164,389,352,164,164,380,376,162,162,359,362,170,170,310,448
2016,1,104,118,365,365,2532,3355,31,31,132,297,29,29,161,220,30,30,213,360,30,30,306,227,31,31,185,254,30,30,176,289,31,31,248,288,31,31,194,237,30,30,239,269,31,31,289,272,30,30,188,268,31,31,201,374
2016,1,104,123,208,208,1499,1210,18,18,114,83,17,17,128,123,17,17,141,135,17,17,164,82,17,17,95,84,17,17,147,78,18,18,125,104,18,18,109,114,16,16,111,93,19,19,133,108,17,17,119,93,17,17,113,113
2016,1,104,124,103,102,12,232,9,9,2,13,7,7,3,13,8,8,1,16,9,9,2,14,9,9,0,14,8,8,2,15,9,9,1,23,9,8,0,21,9,9,1,19,9,9,0,38,8,8,0,19,9,9,0,27
2016,1,104,125,211,211,2150,2062,18,18,150,225,17,17,169,240,17,17,221,210,18,18,170,210,19,19,153,187,17,17,155,156,18,18,194,136,17,17,181,154,17,17,178,140,19,19,201,147,16,16,182,103,18,18,196,154
2016,1,104,126,53,53,0,0,0,0,0,0,3,3,0,0,22,22,0,0,19,19,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,1,104,129,366,365,200,404,31,31,15,33,29,29,11,16,31,31,16,24,30,29,15,39,31,31,16,37,30,30,16,32,31,31,19,29,31,31,16,23,30,30,21,35,31,31,19,48,30,30,17,44,31,31,19,44
2016,1,104,140,366,366,4667,4269,31,31,330,332,29,29,364,370,31,31,382,340,30,30,404,344,31,31,378,322,30,30,430,323,31,31,408,353,31,31,362,356,30,30,404,344,31,31,387,366,30,30,422,406,31,31,396,413
2016,1,104,147,735,733,9675,10433,63,63,749,889,58,58,816,1034,63,63,857,990,60,59,860,751,62,62,823,745,60,60,833,879,62,62,715,727,62,61,637,727,60,60,823,666,63,63,800,1041,60,60,906,1019,62,62,856,965
2016,1,104,152,46,46,8,14,0,0,0,0,0,0,0,0,3,3,0,0,8,8,0,0,8,8,0,0,4,4,0,1,4,4,8,1,5,5,0,8,7,7,0,2,7,7,0,2,0,0,0,0,0,0,0,0
2016,1,104,201,2,2,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,10,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,1,104,202,91,91,1244,1417,9,9,118,121,6,6,89,104,6,6,79,77,10,10,131,154,10,10,133,134,7,7,111,115,7,7,76,96,6,6,54,99,6,6,75,106,10,10,141,173,8,8,134,132,6,6,103,106
2016,1,104,204,251,251,3387,3990,17,17,224,257,19,19,283,296,21,21,277,306,20,20,261,302,20,20,266,293,23,23,364,325,24,24,261,383,25,25,225,392,24,24,301,418,21,21,297,362,18,18,302,330,19,19,326,326
2016,1,104,205,358,358,3234,3124,25,25,249,222,29,29,325,310,31,31,335,273,30,30,232,237,31,31,226,228,30,30,269,242,31,31,255,223,31,31,250,253,30,30,257,253,31,31,292,311,30,30,287,277,29,29,257,295
2016,1,104,206,691,689,6529,6554,48,48,484,455,46,46,491,415,63,63,514,395,60,60,625,413,62,62,591,509,60,60,690,584,63,62,659,661,62,62,431,599,60,60,575,729,62,61,582,689,52,52,480,556,53,53,407,549
2016,1,104,207,384,384,5775,6687,30,30,456,525,29,29,461,468,31,31,521,504,30,30,553,591,31,31,502,583,32,32,567,648,35,35,642,705,36,36,601,797,34,34,408,523,35,35,411,559,30,30,353,387,31,31,300,397
2016,1,104,209,47,47,887,3893,4,4,69,234,2,2,35,165,4,4,44,307,5,5,157,347,4,4,87,277,4,4,86,290,5,5,110,427,1,1,23,46,4,4,61,376,5,5,83,499,4,4,74,408,5,5,58,517
2016,1,104,210,652,651,6268,4371,55,55,376,281,50,50,419,304,53,53,514,322,52,52,563,374,53,53,493,335,49,49,518,317,57,57,521,355,62,62,530,352,52,52,542,342,55,54,606,476,52,52,565,527,62,62,621,386
2016,1,104,213,441,440,16525,16043,32,32,1298,1032,35,35,1449,1384,43,43,1630,1800,39,39,1450,1458,34,33,1135,916,36,36,1246,1055,35,35,1237,1142,32,32,1061,920,38,38,1636,1434,40,40,1507,1577,42,42,1595,2031,35,35,1281,1294
2016,1,104,215,362,362,3242,3813,29,29,278,302,29,29,233,332,31,31,239,357,30,30,291,299,30,30,248,274,30,30,283,286,31,31,265,291,31,31,217,312,30,30,315,338,31,31,299,358,30,30,325,344,30,30,249,320
2016,1,104,218,32,32,44,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,16,35,13,13,19,46,13,13,9,51
2016,1,104,222,362,362,9544,8810,30,30,861,722,29,29,1077,771,31,31,1163,791,31,31,1071,827,31,31,641,573,30,30,723,652,31,31,699,695,31,31,577,660,32,32,686,739,31,31,751,816,29,29,742,862,26,26,553,702
2016,1,104,223,152,152,1051,996,8,8,35,33,13,13,73,80,13,13,59,75,13,13,83,72,13,13,100,67,13,13,77,70,13,13,72,94,13,13,57,81,13,13,132,88,14,14,142,117,12,12,115,95,14,14,106,124
2016,1,104,224,63,62,76,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,11,0,5,5,0,0,9,9,0,4,10,10,0,18,10,10,0,4,10,10,65,0,5,5,0,6,9,9,0,0
2016,1,104,225,197,197,2027,2114,17,17,183,181,16,16,215,206,23,23,232,278,22,22,226,241,28,28,260,294,26,26,324,285,30,30,288,295,31,31,267,287,4,4,32,47,0,0,0,0,0,0,0,0,0,0,0,0
2016,1,104,234,374,374,1862,3173,37,37,121,178,33,33,115,241,31,31,89,214,30,30,103,196,31,31,69,220,29,29,108,169,30,30,116,202,31,31,218,286,30,30,238,372,31,31,378,494,30,30,163,330,31,31,144,271
2016,1,104,302,807,804,6274,5429,45,45,266,268,41,41,304,247,45,45,330,310,47,45,308,275,88,88,565,364,89,89,689,661,93,93,669,790,93,92,617,503,90,90,809,703,89,89,864,651,43,43,439,356,44,44,414,301
2016,1,104,304,17011,16001,202289,218338,1473,1401,15266,17647,1375,1310,13750,15650,1495,1414,16720,19561,1407,1302,17521,17798,1458,1364,16944,17352,1428,1330,17685,18067,1446,1347,17200,18581,1478,1379,16686,17791,1442,1346,17226,19030,1413,1351,18091,19195,1263,1195,17000,18397,1333,1262,18200,19269
2016,1,104,305,103,103,1117,61,0,0,0,0,0,0,0,0,17,17,191,6,0,0,0,0,0,0,0,0,0,0,0,0,22,22,227,8,22,22,221,15,21,21,231,32,0,0,0,0,21,21,247,0,0,0,0,0
